N° del inventario	DESCRIPCIÓN	FOTO O PINTURA	Sala	Vitrina / Pared	Código único en la database	Título principal del objeto u obra de arte	Creador del objeto	Cometarios al Creador del Objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto en centímetros	Dimensión: Ancho en centímetros	Dimensión: Largo en centímetros	Dimensión: Profundidad en centímetros	Peso	Estado actual del objeto	Material del objeto (tècnica usada)	Código de Meta-descripción	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte o Código de la Fecha	Comentario a la fecha de creación del objeto/obra de arte	Código Período	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Fecha de adquisición como propiedad suya	Fecha de ingreso al museo	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	List de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos			Código único en la database para el objeto	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	List de enlaces que describen la clase
	Banco Auxiiliar de papel moneda de 1821 a 1823				m02_s07_272_x	Cuadro con Billetes papel moneda de Bancos privados (15 billetes) emitidos de 1821 a 1823.  Un Pre-billete Casa de Moneda Lima 23 enero 1832.  Banco auxiliar de papel moneda. de 1822 (4 valores)	Desconocido		No asignado	Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	No registra	No aplica	"En 1821 el General San Martín establece la creación de un Banco de Emisión , el ""Banco Auxiliar de Papel Moneda"" debido a la crisis económica en que se encontraba la naciente república del Perú. Ordenando la circulación pública, oficial y obligatoria de los billetes emitidos con los valores de 2 reales, 4 reales y 1 peso.  Fueron impresos sobre unas cartulinas que tenían impreso en rojo letras del alfabeto.  Estos billetes fueron rechazados por la población, que estaba acostumbrada a la moneda ""sonante"" situació que se agravó debido a la aparición de billetes falsificados, dada la rudimentaria fabricación.  En 1823 el presidente de la república, José de la Riva Agüero, ordenó clausurar el banco."	Entre 1821 a 1823	Ninguno	p_02_03	Republicano   	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_272_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	Pintura de óleo sobre lienzo de San Francisco de Asís predicando a los animales				m02_s07_273_x	Pintura de San Francisco de Asís predicando a los animales	Desconocido		No asignado	Evangelizar	Museo  Convento La Recoleta	75.5	101	No aplica	No aplica	No registra	Buen estado de conservación	Oleo sobre lienzo	No aplica	Pintura de San Francisco de Asís predicando a los animales	Desconocida	Ninguno	No registra	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_273_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
	Medallón y pesas				m02_s07_274_x	Vitrina con medallón y pesas	Desconocido		No asignado	Pesas: Medir el peso del material con el que se fabricaban las monedas. Medallón : 	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Metal	No aplica	Medallón y pesas. Medallón: 8 cm de diámetro. Medidas vitrina Largo 52 cm x 28 cm ancho	Desconocida	Ninguno	No registra	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_274_x	c_05/22; c_08/06	Herramientas y equipos para pesos y medidas; 	Herramientas y equipos para pesos y medidas; Símbolos de creencias	
	Monedas del Perú coloniales de 1822 hasta 1975				m02_s07_275_x	Vitrina con Monedas del Perú coloniales de 1568  1824, republicanas 1822 hasta 1855. 	Desconocido		No asignado	Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Metal	No aplica	En 1822 Lima acuña por primera vez monedas con el primer escudo nacional diseñado por el libertador  don José de San Martín. Estas piezas fueron producidas en plata en el valor de 8 Reales con el lema PERU LIBRE en el anverso y alegorías de la Virtud y la Justicia en el reverso.	Entre 1822 a 1975	Ninguno	p_02_03; p_02_04	Republicano y contenmporáneo	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_275_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	Balanzas				m02_s07_276_x	Vitrina conteniendo Balanzas del siglo XIX	Desconocido		No asignado	Obejto de medición 	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Metal	No aplica	Estas objetos se utilizaron para pesar y medir  las monedas que se acuñaban en el siglo XIX.	Siglo XIX	Ninguno	p_02_03	Epoca republicana Perú	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_276_x	c_05/22	Herramientas y equipos para pesos y medidas	Herramientas y equipos para pesos y medidas	
	Monedas del Perú, series de 1969 hasta la actualidad				m02_s07_277_x	Vitrina con Monedas del Perú, series de 1969 hasta la actualidad. OJO ! FALTA DESCRIBIR MÀS PARTES DE LA VITRINA, MÀS MONEDAS	Desconocido		No asignado	Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Aleación de cobre, zinc y níquel.	No aplica	Monedas del Perú, series de 1969 hasta la actualidad	Entre 1969 a 2020	Ninguno	p_02_04	Contemporáneo	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_277_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	Monedas de colección de quarters de Estados Unidos con motivo de todos los estados				m02_s07_278_x	Vitrina con Monedas de colección de quarters de Estados Unidos con motivo de todos los estados	Gobierno de los Estados Unidos de Norteamérica, a través del Departamento del Tesoro		No asignado	Conmemorar la unión de los 50 Estados de los Estados Unidos de Norteamérica. Y como medio de intercambio económico.	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Aleación de plata, cobre y niquel	No aplica	Serie de 50 monedas conmemorativas estadounidenses de 25 centavos, que honrran la admisión de cada uno de los 50 centavos. Estas acuñaciones substituyeron al quarter original. Cada moneda mide 24,26 milímetros de diámetro y un grosor de 1,75  milímetros.	Entre 1999 al 2008	Ninguno	p_02_04	Contemporáneo	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_278_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	Monedas de colección, serie Riqueza y Orgullo del Perú				m02_s07_279_x	"Vitrina con las Monedas de Colección de la serie ""Riqueza y Orgullo del Perú"" (primera parte)"	Gobierno del Perú a través del Banco Central de Reserva		No asignado	Revalorar el Patrimonio Cultural del Perú.  Objetos de  colección. Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Aleación de alpaca (cobre, zinc y níquel)	No aplica	Las monedas de la serie Riqueza y orgullo del Perú fueron emitidas por el Banco Central de Reserva del Perú con el fin de promover la cultura numismática y difundir el patrimonio cultural del Perú. Cada moneda representa un departamento del Perú, mostrando algún atractivo turístico de la localidad. Reune un total de 26 monedas, todas del valor de un sol; con un diámetro de 25.5 milimetros y un peso de 7.32 gramos.  	Entre 2010 al 2016	Ninguno	p_02_04	Contemporáneo	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_279_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	"Albúm modelo 1 ""Riqueza y Orgullo del Perú"""				m02_s07_280_x	"Vitrina con Álbum conteniendo las monedas de la colección  ""Riqueza y Orgullo del Perú"""	Gobierno del Perú a través del Banco Central de Reserva		No asignado	Revalorar el Patrimonio Cultural del Perú.  Objetos de  colección. Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Álbum : cartón. Monedas: Aleación de alpaca (cobre, zinc y niquel)	No aplica	"Álbum que contiene la colección completa de las monedas ""Riqueza y Orgullo del Perú"" del año 2010"	2016	Ninguno	p_02_04	Contemporáneo	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_280_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	Monedas de colección, serie Riqueza y Orgullo del Perú 2				m02_s07_281_x	"Vitrina con las Monedas de Colección de la serie ""Riqueza y Orgullo del Perú"" (segunda parte)"	Gobierno del Perú a través del Banco Central de Reserva		No asignado	Revalorar el Patrimonio Cultural del Perú.  Objetos de  colección. Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Aleación de alpaca (cobre, zinc y níquel)	No aplica	Las monedas de la serie Riqueza y orgullo del Perú fueron emitidas por el Banco Central de Reserva del Perú con el fin de promover la cultura numismática y difundir el patrimonio cultural del Perú. Cada moneda representa un departamento del Perú, mostrando algún atractivo turístico de la localidad. Reune un total de 26 monedas, todas del valor de 1 Sol; con un diámetro de 25.5 milimetros y un peso de 7.32 gramos.  	Entre 2010 al 2016	Ninguno	p_02_04	Contemporáneo	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_281_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	"Album monedas del Perú, colección ""animales"""				m02_s07_282_x	"Vitrina conteniendo el Álbum Monedas del Perú, colección ""Fauna Silvestre amenazada del Perú"""	Gobierno del Perú a través del Banco Central de Reserva		No asignado	Revalorar el Patrimonio Cultural del Perú.  Objetos de  colección. Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Álbum : cartón. Monedas: Aleación de alpaca (cobre, zinc y niquel)	No aplica	El Banco Central de Reserva del Perú inició esta serie con el objetivo de despertar conciencia sobre el riesgo en que se encuentran algunas especies animales, y fomentar la cultura numismática en el país.El album tiene una medida de 15 x 20 centímetros y las monedas un diámetro de 25.5 milimetros y un peso de 7.32 gramos.  	2019	Ninguno	p_02_04	Contemporáneo	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_282_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	"Monedas de colección, serie ""Fauna silvestre amenazada del Perú"""				m02_s07_283_x	"Vitrina con Monedas de colección, serie ""Fauna silvestre amenazada del Perú"""	Gobierno del Perú a través del Banco Central de Reserva		No asignado	Revalorar el Patrimonio Cultural del Perú.  Objetos de  colección. Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Aleación de alpaca (cobre, zinc y níquel)	No aplica	El Banco Central de Reserva del Perú, con el objeto de destacar la riqueza natural de país y promover la cultura numismática,  emite desde julio de 2017 una colección denominada Fauna Silvestre Amenazada del Perú que consta de diez monedas, con la denominación de 1 Sol, las que representan especies amenazadas de la fauna del Perú. Las monedas contienen las diguras de los siguientes animales rana gigante del Titiaca, gato andino, mono choro cola amarilla, suri, jaguar, pava pava aliblanca, tapir andino, cóndor andino, cocodrilo de Tumbes, oso adino de anteojos.	Entre 2017 al 2019	Ninguno	p_02_04	Contemporáneo	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_283_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	Bibliografía numismática y monedas de plata del Perú				m02_s07_284_x	Vitrina con Bibliografía numismática y monedas de plata del Perú	VER		No asignado	Medio de información cultural. 	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Libros: Cartón y papel.  Monedas: Plata acuñada	No aplica	La Real Cédula de 1565 ordenó acuñar sólo monedas de plata, prohibiendo las de oro y vellón. Las primeras monedas peruanas se acuñaron en 1568 y son similares a las acuñadas en México durante el reinado de Carlos I y su madre la reina Juana. Dichas piezas son conocidas con el nombre de “Rincones” pues el ensayador que puso la inicial de su apellido en las monedas se llamaba Alonso de Rincón.  Cuatro libros: 1. Manuel Moreira Paz Soldàn - La moneda nacional del Perù. Banco Central de Reserva 1980 2. Miguel Arturo Seminario. Numismàtica y Democracia - Monedas y Democracia, de 1812 a 2021  3. Monedas del Perù - La Evoluciòn de la Moneda Peruana  en su contexto històrico GOETfeRr 4. Oscar Mirò quezada.  La Moneda y el Cambio 1932.	VER LA FECHA	Ninguno	p_02_02	Virreynal colonial	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_284_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	Monedas papales de colección				m02_s07_285_x	Vitrina con Monedas papales de colección	La Santa Sede		No asignado	Colección histórica	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Metal	No aplica	"La variedad de las colecciones abarca un conjunto conmemorativo de 17 impresionantes monedas, incluyendo cuatro monedas de plata, más la medalla conmemorativa oficial del Vaticano incluyendo además una colección de dos monedas de 100 liras con o sin medalla. Conjunto de 18 monedas conmemorando la doble canonización. 
Incluye 4 Monedas Papales de plata además de una exclusiva y limitada oficial medalla conmemorativa años 1962-1984. Monedas encapsuladas individualmente. Guardada en una caja de madera de alta calidad que incluye el certificado de autenticidad.  Es importante señalar que la Santa Sede, quien se encargó de acuñar las monedas, (en latín, Sancta Sedes) es la jurisdicción episcopal del Obispo de Roma, conocido como el Papa o Sucesor del Apóstol San Pedro, y es la sede episcopal preeminente de la Iglesia católica que constituye su gobierno central. Es la expresión con la que se alude a la posición del Papa como cabeza suprema de la Iglesia Católica, en oposición a la referencia a la Ciudad del Vaticano que viene a ser un  Estado soberano que està al servicio de la Iglesia Católica. "	Entre 1962 a 1984	Ninguno	p_02_04	Contemporáneo	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_285_x	c_12/15	Numismática		
	Monedas de América				m02_s07_286_x	Vitrina con Monedas de América	Desconocido		No asignado	Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Metal	No aplica	En esta vitrina se muestran monedas de diversos países de América	Desconocida	Ninguno	No registra	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_286_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	Monedas Europeas				m02_s07_287_x	Vitrina con Monedas Europeas	Desconocido		No asignado	Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Metal	No aplica	En esta vitrina se muestran monedas de diversos países de Europa.	Desconocida	Ninguno	no registra	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_287_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
