DESCRIPCIÓN	Sala	Vitrina / Pared	Clase	Código único en la database	Título principal del objeto u obra de arte	Creador del objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto	Dimensión: Ancho	Dimensión: Largo	Dimensión: Diámetro	Profundidad	Peso	Estado actual del objeto	Material del objeto (TECNICA USADA)	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte	Código del Período o evento	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Descripción de donación	Fecha de adquisición como propiedad                 suya ?	Fecha de ingreso al museo	Descripción de ingreso	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	Lista de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos	Código único en la database para el objeto	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	Lista de enlaces que describen la clase		
Bruste Calmet, Militar Felipe Osorio	8	izq		m01_s08_239	Bruste, Calmet y  Militar Felipe Osorio	Vinatea Reinoso, Jorge	396439000181	Satirización de personajes públicos  y destacados, que probablemente formaban parte de la sociedad arequipeña a inicios del siglo XX	Museo Histórico Municipal de Arequipa	16 cm	24.5 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Acuarela	Sobre la obra: En la pintura se observa tres hombres de mediana edad, con cabezas de gran tamaño y ojos pequeños;  el primero de ellos de frente, la cabeza de gran tamaño, vistiendo saco, chaleco, pantalón corbata  sombrero y zapatos  de color negro, camisa de color blanco; el segundo de ellos de frente, de cabello, barba, bigote y cejas de color negro, vistiendo saco, pantalón de color negro a la altura de las mangas tiene pequeñas cintas de color blanco, zapatos de color negro, sombrero de color negro con cinta de color blanco alrededor del sombrero, en la mano  derecha sostiene sable de color plata; el tercero de ellos de perfil, obeso, con cabello y bigote de color negro, vistiendo saco y pantalón de color azul claro, camisa blanca, zapatos negros y sombrero de color crema con una cinta de color café. Sobre el artista: Pintor peruano nacido, en Arequipa el 13 de Abril de 1900 y fallecido en el distrito de Cayma, también en Arequipa, el 15 de Julio de 1931. Estudió en la Escuela de Bellas Artes. Ya a los 18 años, destacaba en el género de caricaturas no solo por la originalidad de sus trabajos, sino por la variedad que manifestaba dentro de su técnica. Murió a los 31 años de edad.	Alrededor de 1920	p_04_03	Inicios de siglo XX	Alrededor de 1920	Alrededor de 1920	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Pinturas y caricaturas de Jorge Vinatea Reinoso"""	"Sala 8 ""Jorge Vinatea Reinoso"""			m01_s08_239	c_11/02_53_02	Pinturas de arte fino	Acuarelas de Caricaturas de personajes célebres			
																																													
Vitrina 1 - Sala 8																																													
Paletas de pintor Jorge Vinatea Reinoso	8	1		m01_s08_240	Paletas de pintor Jorge Vinatea Reinoso	Desconocido	No asignado	Objeto utilizado para mezclar los pigmentos para la elaboración de la pintura artística.	Museo Histórico Municipal de Arequipa	a) 36 cm; b) 30 cm	a) 25 cm; b) 25 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Madera	Sobre el pintor : Jorge Vinatea Reinoso peruano nacido, en Arequipa el 13 de Abril de 1900 y fallecido en el distrito de Cayma, también en Arequipa, el 15 de Julio de 1931. Estudió en la Escuela de Bellas Artes. Ya a los 18 años, destacaba en el género de caricaturas no solo por la originalidad de sus trabajos, sino por la variedad que manifestaba dentro de su técnica. Murió a los 31 años de edad.	Alrededor de 1920	p_04_03	Desconocida	Alrededor de 1920	Alrededor de 1920	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	No disponible	Ninguna	"Sala  ""Pinturas y caricaturas de Jorge Vinatea Reinoso"""	"Sala 8 ""Jorge Vinatea Reinoso"""			m01_s08_240	c_04/11_01		Heramientas y equipos de pintura; Objetos documentales sobre artistas, Perú, Arequipa.			
																															Ninguna														
Paisaje español, a carboncillo	8	lif		m01_s08_241	Paisaje español	Vinatea Reinoso, Jorge	396439000188	Ilustrar y registrar gráficamente un paisaje de un pueblo de España . 	Museo Histórico Municipal de Arequipa	67 cm	52 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Acuarela	Sobre la obra: En la pintura se observa una casa de dos pisos de color blanco con tejas de color rojo en el techo, en el primer piso se encuentra un ventana y una puerta de color café claro, plantas de color violeta claro sobre un muro a cuyo costado se encuentra un pequeño puente, el piso de la entrada de la casa es de color blanco en forma e pequeños cuadrados; en el segundo piso  se observan tres  pequeñas ventanas y sobre el techo un pequeño cuarto con una ventana y por detrás de la casa se aprecia el cielo de color celeste claro. Sobre el artista: Pintor peruano nacido, en Arequipa el 13 de Abril de 1900 y fallecido en el distrito de Cayma, también en Arequipa, el 15 de Julio de 1931. Estudió en la Escuela de Bellas Artes. Ya a los 18 años, destacaba en el género de caricaturas no solo por la originalidad de sus trabajos, sino por la variedad que manifestaba dentro de su técnica. Murió a los 31 años de edad.	Alrededor de 1920	p_04_03	Republicano	Alrededor de 1920	Alrededor de 1920	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Pinturas y caricaturas de Jorge Vinatea Reinoso"""	"Sala 8 ""Jorge Vinatea Reinoso"""			m01_s08_241	c_11/02_48	Pinturas de arte fino	Acuarelas;  paisajes arquitectónicos; artistas peruanos, arequipeños.			
Gironda Acros, Capitán Bombero y M.L Revilla	8	lif		m01_s08_242	Gironda  Acros,   capitán bombero y M.L Revilla	Vinatea Reinoso, Jorge	396439000179	Satirización de personajes públicos  y destacados, que probablemente formaban parte de la sociedad arequipeña a inicios del siglo XX	Museo Histórico Municipal de Arequipa	16 cm	24.5 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Acuarela	Sobre la obra: En la pintura se aprecia a 3 hombres de edad avanzada, con cabezas de gran tamaño y ojos pequeños; el primero de ellos obeso y de perfil con cabello y bigote negro con las manos hacia atrás, usando saco y pantalón de color negro, camisa blanca, corbata negra, zapatos negro y un sombrero negro; el segundo de ellos ligeramente obeso y de perfil, cabello negro con las manos en los costados y la pierna izquierda delante de la derecha, usando saco de color rojo con una cinta negra alrededor del cuello del saco con una correa blanca con hebilla dorada, pantalón blanco, botas negros, guantes blanco con líneas negras y sombrero rojo con cinta; el tercero alto y delgado y de frente con cabello, barba y bigote de color negro, usando saco, chaleco y pantalón de color negro, camisa blanca, corbata delgada de color negro, zapatos y sombrero de color, sosteniendo un bastón delgado de color café en la mano derecha. Sobre el artista: Pintor peruano nacido, en Arequipa el 13 de Abril de 1900 y fallecido en el distrito de Cayma, también en Arequipa, el 15 de Julio de 1931. Estudió en la Escuela de Bellas Artes. Ya a los 18 años, destacaba en el género de caricaturas no solo por la originalidad de sus trabajos, sino por la variedad que manifestaba dentro de su técnica. Murió a los 31 años de edad.	Alrededor de 1920	p_04_03	Republicano	Alrededor de 1920	Alrededor de 1920	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Pinturas y caricaturas de Jorge Vinatea Reinoso"""	"Sala 8 ""Jorge Vinatea Reinoso"""			m01_s08_242	c_11/02_53_02	Pinturas de arte fino	Acuarelas de Caricaturas de personajes célebres			
Militar N.N. Poeta Carlos Forja	8	lif		m01_s08_243	Militar N.N. y poeta Carlos Forja	Vinatea Reinoso, Jorge	306439000198	Satirización de personajes públicos  y destacados, que formaban parte de la sociedad arequipeña a inicios del siglo XX	Museo Histórico Municipal de Arequipa	16 cm	24.5 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Acuarela	Sobre la obra: En la pintura se observa a dos hombres de perfil, de edad avanzada; el primero de ellos obeso, con cabello y bigote de color negro, vistiendo un uniforme militar de color azul, en las mangas del saco, costado del pantalón  y en el cuello tiene cintas rojas y botones dorados, sombrero azul con cintas rojas y doradas alrededor, en la mano izquierda sostiene un espada de color plata; el segundo de ellos  delgado con cabello y barba larga de color negro, vistiendo saco lardo y pantalón de color azul, camisa blanca sombrero color crema con una cinta de color café alrededor, zapatos negros, en la mano derecha sostiene un delgado bastón de color negro y en la mano derecha un papel blanco enrollado. Sobre el artista: Pintor peruano nacido, en Arequipa el 13 de Abril de 1900 y fallecido en el distrito de Cayma, también en Arequipa, el 15 de Julio de 1931. Estudió en la Escuela de Bellas Artes. Ya a los 18 años, destacaba en el género de caricaturas no solo por la originalidad de sus trabajos, sino por la variedad que manifestaba dentro de su técnica. Murió a los 31 años de edad.	Alrededor de 1920	p_04_03	Republicano	Alrededor de 1920	Alrededor de 1920	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Pinturas y caricaturas de Jorge Vinatea Reinoso"""	"Sala 8 ""Jorge Vinatea Reinoso"""			m01_s08_243	c_11/02_53_02	Pinturas de arte fino	Acuarelas de Caricaturas de personajes célebres			
"Pintura al carboncillo ""Rostro del Abuelo"""	8	ldf		m01_s08_244	"""Rostro del Abuelo"",  trabajo artìstico realizado por el artista  a los 14 años de edad "	Vinatea Reinoso, Jorge	306430999187	Registrar y homenajear a un familiar	Museo Histórico Municipal de Arequipa	61 cm	54 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Carboncillo	Sobre la obra: En la pintura se observa a un hombre de edad avanzada, destacando las arugas que presenta su rostro en la frente, pómulos y por debajo de los ojos, cejas pobladas y abundante bigote, esta vistiendo saco, camisa y sombrero pequeño, el fondo de la pintura es de color blanco con ligera sombra por el costado derecho del hombre.  Sobre el artista: Pintor peruano nacido, en Arequipa el 13 de Abril de 1900 y fallecido en el distrito de Cayma, también en Arequipa, el 15 de Julio de 1931. Estudió en la Escuela de Bellas Artes. Ya a los 18 años, destacaba en el género de caricaturas no solo por la originalidad de sus trabajos, sino por la variedad que manifestaba dentro de su técnica. Murió a los 31 años de edad.	Alrededor de 1920	p_04_03	Republicano	Alrededor de 1920	Alrededor de 1920	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Pinturas y caricaturas de Jorge Vinatea Reinoso"""	"Sala 8 ""Jorge Vinatea Reinoso"""			m01_s08_244	c_11/01_27	Pinturas de arte fino	Dibujos; carboncillos, retratos de vanidad			
C. Indacochea y Dr. N. Salas Cornejo	8	ldf		m01_s08_245	C. Indacochea y Dr. N. Salas Cornejo	Vinatea Reinoso, Jorge	396439000196	Satirización de personajes públicos  y destacados, que formaban parte de la sociedad arequipeña a inicios del siglo XX	Museo Histórico Municipal de Arequipa	16 cm	24.5 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Acuarela	Sobre la obra: En la pintura se observa dos hombres de mediana edad y ojos pequeños; el primero de ellos  de perfil, la pierna  izquierda delante de la pierna derecha, con cabello y bigote de color negro, ligeramente obeso, vistiendo saco  largo, pantalón  y sombrero de color café oscuro, camisa de color blanco, zapatos de color negro, en la mano izquierda sostiene un delgado bastón de color café; el segundo de ellos de perfil , la pierna derecha delante de la pierna izquierda, con cabello y bigote de color negro, vistiendo saco largo y pantalón de color azul claro, camisa de color blanco, corbata de color rojo, sombrero de copa alta de color negro, zapatos de color negro y en la mano izquierda sostiene un delgado bastón de color negro. Sobre el artista: Pintor peruano nacido, en Arequipa el 13 de Abril de 1900 y fallecido en el distrito de Cayma, también en Arequipa, el 15 de Julio de 1931. Estudió en la Escuela de Bellas Artes. Ya a los 18 años, destacaba en el género de caricaturas no solo por la originalidad de sus trabajos, sino por la variedad que manifestaba dentro de su técnica. Murió a los 31 años de edad.	Alrededor de 1920	p_04_03	Republicano	Alrededor de 1920	Alrededor de 1920	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Pinturas y caricaturas de Jorge Vinatea Reinoso"""	"Sala 8 ""Jorge Vinatea Reinoso"""			m01_s08_245	c_11/02_53_02	Pinturas de arte fino	Acuarelas de Caricaturas de personajes célebres			
Francisco Ibáñez y Belaúnde	8	ldf		m01_s08_246	Francisco Ibáñez y Belaúnde	Vinatea Reinoso, Jorge	396439000194	Satirización de personajes públicos  y destacados, que formaban parte de la sociedad arequipeña a inicios del siglo XX	Museo Histórico Municipal de Arequipa	16 cm	24.5 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Acuarela	Sobre la obra:  En la pintura se observa dos hombres de edad avanzada, con cabeza y nariz  de gran tamaño y ojos pequeños, ligeramente inclinados hacia adelante, el primero de ellos  de perfil con cabello y barba de color negro, vistiendo saco y pantalón de color café oscuro, camisa de color blanco, corbata café, sombrero de color crema con cinta alrededor y zapatos de color negro; el segundo de ellos  con cabello y bigotes de color negro, vistiendo saco y pantalón de color azul claro, camisa de color blanco, corbata roja, sombrero de color crema con cinta alrededor de color azul y zapatos de color café, la pierna derecha delante de la pierna izquierda en forma de querer caminar. Sobre el artista: Pintor peruano nacido, en Arequipa el 13 de Abril de 1900 y fallecido en el distrito de Cayma, también en Arequipa, el 15 de Julio de 1931. Estudió en la Escuela de Bellas Artes. Ya a los 18 años, destacaba en el género de caricaturas no solo por la originalidad de sus trabajos, sino por la variedad que manifestaba dentro de su técnica. Murió a los 31 años de edad.	Alrededor de 1920	p_04_03	Republicano	Alrededor de 1920	Alrededor de 1920	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Pinturas y caricaturas de Jorge Vinatea Reinoso"""	"Sala 8 ""Jorge Vinatea Reinoso"""			m01_s08_246	c_11/02_53_02	Pinturas de arte fino	Acuarelas de Caricaturas de personajes célebres			
Foto de Jorge Vinatea Reinoso, pintor paisajista	8	caballete		m01_s08_247	Jorge Vinatea Reinoso	Vinatea Reinoso, Jorge	396439000642 (204)	Satirización de personajes públicos  y destacados, que formaban parte de la sociedad arequipeña a inicios del siglo XX	Museo Histórico Municipal de Arequipa	38.5 cm	30 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Fotografìa en blanco y negro	Sobre la obra: En la pintura se observa a un hombre sentado  apoyándola mano derecha sobre la cintura y la mano izquierda sobre la pierna izquierda, cabello y bigote corto de color negro, vistiendo saco, chaleco y pantalón, camisa y corbata del mismo que por ser una fotografía  a blanco y negro no se aprecia el color exacto. Sobre el artista: Pintor peruano nacido, en Arequipa el 13 de Abril de 1900 y fallecido en el distrito de Cayma, también en Arequipa, el 15 de Julio de 1931. Estudió en la Escuela de Bellas Artes. Ya a los 18 años, destacaba en el género de caricaturas no solo por la originalidad de sus trabajos, sino por la variedad que manifestaba dentro de su técnica. Murió a los 31 años de edad.	Alrededor de 1920	p_04_03	Republicano	Alrededor de 1920	Alrededor de 1920	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Pinturas y caricaturas de Jorge Vinatea Reinoso"""	"Sala 8 ""Jorge Vinatea Reinoso"""			m01_s08_247	c_11/02_53_02	Pinturas de arte fino	Acuarelas de Caricaturas de personajes célebres			
Eduardo Vargas, N. Tirado	8	der		m01_s08_248	J. Eduardo Vargas y N. Tirado	Vinatea Reinoso, Jorge	396439000178	Satirización de personajes públicos  y destacados, que formaban parte de la sociedad arequipeña a inicios del siglo XX	Museo Histórico Municipal de Arequipa	16 cm	24.5 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Acuarela	Sobre la obra: En la pintura se observa a tres hombres  de mediana edad, con cabezas de cran tamaño y ojos pequeños; el primero de ellos de perfil, con el pie derecho delante del izquierdo,  con cabello  de color negro, saco y pantalón de color azul claro, camisa blanca de cuello largo, corbata roja, zapatos y sombrero de color negro , en la mano derecha sostiene un delgado bastón de color negro; el segundo de ellos de perfil con cabello y bigote de color negro, vistiendo saco y pantalón de color café oscuro, camisa blanca de cuello largo, corbata roja, sombrero y zapatos de color negro, en la mano izquierda sostiene una pequeña vara de color negro;  el tercero de ellos de frente con barba y ojos pequeños, vistiendo saco, corbata  y pantalón de color azul oscuro camisa de color blanco y sombreo y zapatos de color negro. Sobre el artista: Pintor peruano nacido, en Arequipa el 13 de Abril de 1900 y fallecido en el distrito de Cayma, también en Arequipa, el 15 de Julio de 1931. Estudió en la Escuela de Bellas Artes. Ya a los 18 años, destacaba en el género de caricaturas no solo por la originalidad de sus trabajos, sino por la variedad que manifestaba dentro de su técnica. Murió a los 31 años de edad.	Alrededor de 1920	p_04_03	Republicano	Alrededor de 1920	Alrededor de 1920	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Pinturas y caricaturas de Jorge Vinatea Reinoso"""	"Sala 8 ""Jorge Vinatea Reinoso"""			m01_s08_248	c_11/02_53_02	Pinturas de arte fino	Acuarelas de Caricaturas de personajes célebres			
